Neighborhood,Ranking
Hays,1
Glen Hazel,2
New Homestead,3
St. Clair,4
Arlington Heights,5
Ridgemont,6
Fairywood,7
Swisshelm Park,8
Bon Air,9
East Carnegie,10
Regent Square,11
Northview Heights,12
Summer Hill,13
Windgap,14
Oakwood,15
Lincoln Place,16
Chartiers City,17
South Shore,18
Chateau,19
Esplen,20
Duquesne Heights,21
West End,22
Spring Garden,23
Lincoln-Lemington-Belmar,24
Strip District,25
Squirrel Hill South,26
North Shore,27
Bedford Dwellings,28
Banksville,29
Allegheny West,30
Homewood West,31
Highland Park,32
Westwood,33
Perry North,34
Arlington,35
Spring Hill-City View,36
Lower Lawrenceville,37
Larimer,38
Crafton Heights,39
Mt. Oliver,40
Stanton Heights,41
Allegheny Center,42
East Hills,43
Elliott,44
Hazelwood,45
Point Breeze,46
Central Lawrenceville,47
Central Business District,48
Homewood South,49
Overbrook,50
Point Breeze North,51
Manchester,52
Terrace Village,53
Fineview,54
Brighton Heights,55
East Liberty,56
California-Kirkbride,57
South Side Flats,58
Morningside,59
Crawford-Roberts,60
West Oakland,61
Beltzhoover,62
Troy Hill,63
Upper Lawrenceville,64
South Oakland,65
East Allegheny,66
Sheraden,67
Homewood North,68
Polish Hill,69
Allentown,70
Squirrel Hill North,71
Beechview,72
Shadyside,73
Middle Hill,74
Upper Hill,75
Central Northside,76
Garfield,77
Carrick,78
Brookline,79
Perry South,80
Friendship,81
Bloomfield,82
Knoxville,83
Marshall-Shadeland,84
Bluff,85
Mount Washington,86
North Oakland,87
Central Oakland,88
Greenfield,89
South Side Slopes,90
