Neighborhood,Ranking
rankin,116
mckees rocks,115
mount oliver,114
wilmerding,113
east pittsburgh,112
north braddock,111
duquesne,110
sharpsburg,109
stowe,108
wilkinsburg,107
clairton,106
mckeesport,105
homestead,104
west homestead,103
millvale,102
glassport,101
tarentum,100
whitaker,99
turtle creek,98
west elizabeth,97
pittsburgh,96
braddock,95
swissvale,94
etna,93
braddock hills,92
avalon,91
munhall,90
bellevue,89
elizabeth boro,88
dravosburg,87
brackenridge,86
brentwood,85
east mckeesport,84
pitcairn,83
heidelberg,82
carnegie,81
north versailles,80
frazer,79
springdale boro,78
penn hills,77
crafton,76
ingram,75
west mifflin,74
lincoln,73
chalfant,72
verona,71
harmar,70
dormont,69
churchill,68
harrison,67
castle shannon,66
glenfield,65
port vue,64
bridgeville,63
forest hills,62
west view,61
kilbuck,60
robinson,59
green tree,58
neville,57
cheswick,56
kennedy,55
blawnox,54
coraopolis,53
oakdale,52
east deer,51
liberty,50
edgewood,49
baldwin boro,48
pennsbury village,47
elizabeth township,46
collier,45
white oak,44
west deer,43
findlay,42
reserve,41
emsworth,40
jefferson hills,39
wall,38
ross,37
plum,36
thornburg,35
pleasant hills,34
aspinwall,33
north fayette,32
oakmont,31
scott,30
whitehall,29
ben avon,28
shaler,27
wilkins,26
south fayette,25
baldwin township,24
mount lebanon,23
sewickley hills,22
forward,21
fawn,20
springdale township,19
versailles,18
indiana,17
o'hara,16
mccandless,15
pine,14
richland,13
leetsdale,12
bradford woods,11
crescent,10
hampton,9
marshall,8
aleppo,7
moon,6
ohio,5
fox chapel,4
leet,3
franklin park,2
sewickley,1
