Neighborhood,Ranking
hays,1
glen hazel,2
new homestead,3
st. clair,4
arlington heights,5
ridgemont,6
fairywood,7
swisshelm park,8
bon air,9
east carnegie,10
regent square,11
northview heights,12
summer hill,13
windgap,14
oakwood,15
lincoln place,16
chartiers city,17
south shore,18
chateau,19
esplen,20
duquesne heights,21
west end,22
spring garden,23
lincoln-lemington-belmar,24
strip district,25
squirrel hill south,26
north shore,27
bedford dwellings,28
banksville,29
allegheny west,30
homewood west,31
highland park,32
westwood,33
perry north,34
arlington,35
spring hill-city view,36
lower lawrenceville,37
larimer,38
crafton heights,39
mt. oliver,40
stanton heights,41
allegheny center,42
east hills,43
elliott,44
hazelwood,45
point breeze,46
central lawrenceville,47
central business district,48
homewood south,49
overbrook,50
point breeze north,51
manchester,52
terrace village,53
fineview,54
brighton heights,55
east liberty,56
california-kirkbride,57
south side flats,58
morningside,59
crawford-roberts,60
west oakland,61
beltzhoover,62
troy hill,63
upper lawrenceville,64
south oakland,65
east allegheny,66
sheraden,67
homewood north,68
polish hill,69
allentown,70
squirrel hill north,71
beechview,72
shadyside,73
middle hill,74
upper hill,75
central northside,76
garfield,77
carrick,78
brookline,79
perry south,80
friendship,81
bloomfield,82
knoxville,83
marshall-shadeland,84
bluff,85
mount washington,86
north oakland,87
central oakland,88
greenfield,89
south side slopes,90
